employee_id,date,status
1001,2024-01-01,Work From Home
1001,2024-01-02,Work From Home
1001,2024-01-03,Present
1001,2024-01-04,Present
1001,2024-01-05,Work From Home
1001,2024-01-06,Present
1001,2024-01-07,Absent
1001,2024-01-08,Present
1001,2024-01-09,Work From Home
1001,2024-01-10,Absent
1002,2024-01-01,Present
1002,2024-01-02,Work From Home
1002,2024-01-03,Absent
1002,2024-01-04,Work From Home
1002,2024-01-05,Absent
1002,2024-01-06,Work From Home
1002,2024-01-07,Work From Home
1002,2024-01-08,Present
1002,2024-01-09,Absent
1002,2024-01-10,Work From Home
1003,2024-01-01,Absent
1003,2024-01-02,Work From Home
1003,2024-01-03,Work From Home
1003,2024-01-04,Work From Home
1003,2024-01-05,Absent
1003,2024-01-06,Absent
1003,2024-01-07,Work From Home
1003,2024-01-08,Work From Home
1003,2024-01-09,Work From Home
1003,2024-01-10,Work From Home
1004,2024-01-01,Work From Home
1004,2024-01-02,Absent
1004,2024-01-03,Present
1004,2024-01-04,Work From Home
1004,2024-01-05,Absent
1004,2024-01-06,Present
1004,2024-01-07,Absent
1004,2024-01-08,Absent
1004,2024-01-09,Absent
1004,2024-01-10,Present
1005,2024-01-01,Present
1005,2024-01-02,Work From Home
1005,2024-01-03,Absent
1005,2024-01-04,Absent
1005,2024-01-05,Work From Home
1005,2024-01-06,Present
1005,2024-01-07,Present
1005,2024-01-08,Absent
1005,2024-01-09,Present
1005,2024-01-10,Present
1006,2024-01-01,Work From Home
1006,2024-01-02,Present
1006,2024-01-03,Present
1006,2024-01-04,Present
1006,2024-01-05,Absent
1006,2024-01-06,Present
1006,2024-01-07,Work From Home
1006,2024-01-08,Absent
1006,2024-01-09,Work From Home
1006,2024-01-10,Work From Home
1007,2024-01-01,Present
1007,2024-01-02,Present
1007,2024-01-03,Absent
1007,2024-01-04,Absent
1007,2024-01-05,Present
1007,2024-01-06,Absent
1007,2024-01-07,Work From Home
1007,2024-01-08,Present
1007,2024-01-09,Absent
1007,2024-01-10,Work From Home
1008,2024-01-01,Work From Home
1008,2024-01-02,Present
1008,2024-01-03,Present
1008,2024-01-04,Absent
1008,2024-01-05,Present
1008,2024-01-06,Present
1008,2024-01-07,Work From Home
1008,2024-01-08,Present
1008,2024-01-09,Absent
1008,2024-01-10,Work From Home
1009,2024-01-01,Work From Home
1009,2024-01-02,Present
1009,2024-01-03,Work From Home
1009,2024-01-04,Work From Home
1009,2024-01-05,Work From Home
1009,2024-01-06,Present
1009,2024-01-07,Work From Home
1009,2024-01-08,Present
1009,2024-01-09,Work From Home
1009,2024-01-10,Present
1010,2024-01-01,Absent
1010,2024-01-02,Present
1010,2024-01-03,Present
1010,2024-01-04,Absent
1010,2024-01-05,Work From Home
1010,2024-01-06,Work From Home
1010,2024-01-07,Absent
1010,2024-01-08,Absent
1010,2024-01-09,Work From Home
1010,2024-01-10,Present
1011,2024-01-01,Work From Home
1011,2024-01-02,Present
1011,2024-01-03,Present
1011,2024-01-04,Absent
1011,2024-01-05,Absent
1011,2024-01-06,Work From Home
1011,2024-01-07,Work From Home
1011,2024-01-08,Absent
1011,2024-01-09,Present
1011,2024-01-10,Present
1012,2024-01-01,Work From Home
1012,2024-01-02,Present
1012,2024-01-03,Present
1012,2024-01-04,Present
1012,2024-01-05,Work From Home
1012,2024-01-06,Present
1012,2024-01-07,Present
1012,2024-01-08,Work From Home
1012,2024-01-09,Absent
1012,2024-01-10,Present
1013,2024-01-01,Work From Home
1013,2024-01-02,Present
1013,2024-01-03,Present
1013,2024-01-04,Absent
1013,2024-01-05,Work From Home
1013,2024-01-06,Absent
1013,2024-01-07,Present
1013,2024-01-08,Work From Home
1013,2024-01-09,Present
1013,2024-01-10,Absent
1014,2024-01-01,Present
1014,2024-01-02,Absent
1014,2024-01-03,Present
1014,2024-01-04,Absent
1014,2024-01-05,Work From Home
1014,2024-01-06,Absent
1014,2024-01-07,Absent
1014,2024-01-08,Absent
1014,2024-01-09,Present
1014,2024-01-10,Work From Home
1015,2024-01-01,Present
1015,2024-01-02,Absent
1015,2024-01-03,Work From Home
1015,2024-01-04,Absent
1015,2024-01-05,Absent
1015,2024-01-06,Present
1015,2024-01-07,Absent
1015,2024-01-08,Present
1015,2024-01-09,Present
1015,2024-01-10,Work From Home
1016,2024-01-01,Present
1016,2024-01-02,Absent
1016,2024-01-03,Absent
1016,2024-01-04,Work From Home
1016,2024-01-05,Work From Home
1016,2024-01-06,Work From Home
1016,2024-01-07,Work From Home
1016,2024-01-08,Absent
1016,2024-01-09,Work From Home
1016,2024-01-10,Absent
1017,2024-01-01,Absent
1017,2024-01-02,Present
1017,2024-01-03,Work From Home
1017,2024-01-04,Absent
1017,2024-01-05,Present
1017,2024-01-06,Absent
1017,2024-01-07,Present
1017,2024-01-08,Work From Home
1017,2024-01-09,Work From Home
1017,2024-01-10,Absent
1018,2024-01-01,Present
1018,2024-01-02,Present
1018,2024-01-03,Absent
1018,2024-01-04,Absent
1018,2024-01-05,Absent
1018,2024-01-06,Present
1018,2024-01-07,Work From Home
1018,2024-01-08,Absent
1018,2024-01-09,Present
1018,2024-01-10,Absent
1019,2024-01-01,Work From Home
1019,2024-01-02,Present
